aba	a . b a
amogelegile	a . m ʊ . x ɪ . l ɪ . x i . l ɪ
amogelegileng	a . m ʊ . x ɪ . l ɪ . x i . l ɪ . ŋ
amogeleng	a . m ʊ . x ɪ . l ɪ . ŋ
amogelesega	a . m ʊ . x ɪ . l ɪ . s ɪ . x a
amogelesegang	a . m ʊ . x ɪ . l ɪ . s ɪ . x a . ŋ
amogelesege	a . m ʊ . x ɪ . l ɪ . s ɪ . x ɪ
amogelesegeng	a . m ʊ . x ɪ . l ɪ . s ɪ . x ɪ . ŋ
amogelesegile	a . m ʊ . x ɪ . l ɪ . s ɪ . x i . l ɪ
amogelesegileng	a . m ʊ . x ɪ . l ɪ . s ɪ . x i . l ɪ . ŋ
amogeleseng	a . m ʊ . x ɪ . l ɪ . s ɪ . ŋ
amogelwa	a . m ʊ . x ɪ . l w a
amogelwang	a . m ʊ . x ɪ . l w a . ŋ
amogelwe	a . m ʊ . x ɪ . l w ɪ
amogetsana	a . m ʊ . x ɪ . t͡sʼ a . n a
amogetse	a . m ʊ . x ɪ . t͡sʼ ɪ
amogetseng	a . m ʊ . x ɪ . t͡sʼ ɪ . ŋ
amogetswe	a . m ʊ . x ɪ . t͡sʼ w ɪ
amogetsweng	a . m ʊ . x ɪ . t͡sʼ w ɪ . ŋ
amogilweng	a . m ʊ . x i . l w ɪ . ŋ
amogwa	a . m ʊ . x w a
amologaneng	a . m ʊ . l ʊ . x a . n ɪ . ŋ
ampo	a . m . pʼ ʊ
anaanela	a . n a . a . n ɪ . l a
anama	a . n a . m a
anamang	a . n a . m a . ŋ
anamela	a . n a . m ɪ . l a
anameng	a . n a . m ɪ . ŋ
anametse	a . n a . m ɪ . t͡sʼ ɪ
anamisa	a . n a . m i . s a
anamisang	a . n a . m i . s a . ŋ
anamiseng	a . n a . m i . s ɪ . ŋ
anamisetsa	a . n a . m i . s ɪ . t͡sʼ a
anamisiwa	a . n a . m i . s i . w a
anang	a . n a . ŋ
ananya	a . n a . ɲ a
anela	a . n ɪ . l a
anelang	a . n ɪ . l a . ŋ
anelwa	a . n ɪ . l w a
anetse	a . n ɪ . t͡sʼ ɪ
anetseng	a . n ɪ . t͡sʼ ɪ . ŋ
angwang	a . ŋ w a . ŋ
ano	a . n ʊ
antseng	a . n . t͡sʼ ɪ . ŋ
antsha	a . n . t͡sʰ a
antshe	a . n . t͡sʰ ɪ
anya	a . ɲ a
anyang	a . ɲ a . ŋ
apaapa	a . pʼ a . a . pʼ a
apara	a . pʼ a . r a
aparang	a . pʼ a . r a . ŋ
apare	a . pʼ a . r ɪ
apareteiti	a . pʼ a . r ɪ . tʼ ɪ . i . tʼ i
aparetse	a . pʼ a . r ɪ . t͡sʼ ɪ
aparetseng	a . pʼ a . r ɪ . t͡sʼ ɪ . ŋ
aparetswe	a . pʼ a . r ɪ . t͡sʼ w ɪ
apariwa	a . pʼ a . r i . w a
aparwa	a . pʼ a . r w a
apaya	a . pʼ a . j a
apayang	a . pʼ a . j a . ŋ
ape	a . pʼ ɪ
apeela	a . pʼ ɪ . ɪ . l a
apeile	a . pʼ ɪ . i . l ɪ
apeilweng	a . pʼ ɪ . i . l w ɪ . ŋ
apere	a . pʼ ɪ . r ɪ
aperweng	a . pʼ ɪ . r w ɪ . ŋ
apesitswe	a . pʼ ɪ . s i . t͡sʼ w ɪ
apesitsweng	a . pʼ ɪ . s i . t͡sʼ w ɪ . ŋ
apola	a . pʼ ʊ . l a
apotse	a . pʼ ʊ . t͡sʼ ɪ
ara	a . r a
araba	a . r a . b a
arabang	a . r a . b a . ŋ
arabe	a . r a . b ɪ
arabela	a . r a . b ɪ . l a
arabelang	a . r a . b ɪ . l a . ŋ
arabele	a . r a . b ɪ . l ɪ
arabile	a . r a . b i . l ɪ
arabiwa	a . r a . b i . w a
arabiwang	a . r a . b i . w a . ŋ
arogana	a . r ʊ . x a . n a
aroganang	a . r ʊ . x a . n a . ŋ
arogane	a . r ʊ . x a . n ɪ
aroganeng	a . r ʊ . x a . n ɪ . ŋ
arogangwa	a . r ʊ . x a . ŋ w a
aroganngwa	a . r ʊ . x a . n . ŋ w a
aroganngwang	a . r ʊ . x a . n . ŋ w a . ŋ
arogantse	a . r ʊ . x a . n . t͡sʼ ɪ
arogantseng	a . r ʊ . x a . n . t͡sʼ ɪ . ŋ
arogantswe	a . r ʊ . x a . n . t͡sʼ w ɪ
arogantsweng	a . r ʊ . x a . n . t͡sʼ w ɪ . ŋ
aroganya	a . r ʊ . x a . ɲ a
aroganye	a . r ʊ . x a . ɲ ɪ
aroganyetswa	a . r ʊ . x a . ɲ ɪ . t͡sʼ w a
arole	a . r ʊ . l ɪ
arolo	a . r ʊ . l ʊ
arologanyeditsweng	a . r ʊ . l ʊ . x a . ɲ ɪ . d i . t͡sʼ w ɪ . ŋ
arologanyediwang	a . r ʊ . l ʊ . x a . ɲ ɪ . d i . w a . ŋ
arologanyetse	a . r ʊ . l ʊ . x a . ɲ ɪ . t͡sʼ ɪ
arolwa	a . r ʊ . l w a
arotswe	a . r ʊ . t͡sʼ w ɪ
ata	a . tʼ a
atamela	a . tʼ a . m ɪ . l a
atamelana	a . tʼ a . m ɪ . l a . n a
atamelaneng	a . tʼ a . m ɪ . l a . n ɪ . ŋ
atamelang	a . tʼ a . m ɪ . l a . ŋ
atamele	a . tʼ a . m ɪ . l ɪ
atametse	a . tʼ a . m ɪ . t͡sʼ ɪ
atelang	a . tʼ ɪ . l a . ŋ
ateng	a . tʼ ɪ . ŋ
athikeleng	a . tʰ i . kʼ ɪ . l ɪ . ŋ
atileng	a . tʼ i . l ɪ . ŋ
atisa	a . tʼ i . s a
atisang	a . tʼ i . s a . ŋ
atisiwa	a . tʼ i . s i . w a
atla	a . t͡lʼ a
atlana	a . t͡lʼ a . n a
atlanegisa	a . t͡lʼ a . n ɪ . x i . s a
atlanegisitse	a . t͡lʼ a . n ɪ . x i . s i . t͡sʼ ɪ
atlanegisitswe	a . t͡lʼ a . n ɪ . x i . s i . t͡sʼ w ɪ
atlanegisitsweng	a . t͡lʼ a . n ɪ . x i . s i . t͡sʼ w ɪ . ŋ
atlanegisiwa	a . t͡lʼ a . n ɪ . x i . s i . w a
atlanegisiwang	a . t͡lʼ a . n ɪ . x i . s i . w a . ŋ
atlanegisiwe	a . t͡lʼ a . n ɪ . x i . s i . w ɪ
atlega	a . t͡lʼ ɪ . x a
atlegang	a . t͡lʼ ɪ . x a . ŋ
atlegile	a . t͡lʼ ɪ . x i . l ɪ
atlegileng	a . t͡lʼ ɪ . x i . l ɪ . ŋ
atlegisa	a . t͡lʼ ɪ . x i . s a
atlegiseng	a . t͡lʼ ɪ . x i . s ɪ . ŋ
atlegisiwa	a . t͡lʼ ɪ . x i . s i . w a
atlenegisang	a . t͡lʼ ɪ . n ɪ . x i . s a . ŋ
atlenegisitsweng	a . t͡lʼ ɪ . n ɪ . x i . s i . t͡sʼ w ɪ . ŋ
atlenegisiwa	a . t͡lʼ ɪ . n ɪ . x i . s i . w a
atlenegisiwang	a . t͡lʼ ɪ . n ɪ . x i . s i . w a . ŋ
atlhama	a . t͡lʰ a . m a
atlhame	a . t͡lʰ a . m ɪ
atlhameng	a . t͡lʰ a . m ɪ . ŋ
atlhola	a . t͡lʰ ʊ . l a
atlholang	a . t͡lʰ ʊ . l a . ŋ
atlhole	a . t͡lʰ ʊ . l ɪ
atlholela	a . t͡lʰ ʊ . l ɪ . l a
atlholelwa	a . t͡lʰ ʊ . l ɪ . l w a
atlholelwang	a . t͡lʰ ʊ . l ɪ . l w a . ŋ
atlholelwe	a . t͡lʰ ʊ . l ɪ . l w ɪ
atlholetswe	a . t͡lʰ ʊ . l ɪ . t͡sʼ w ɪ
atlholetsweng	a . t͡lʰ ʊ . l ɪ . t͡sʼ w ɪ . ŋ
atlhologantsweng	a . t͡lʰ ʊ . l ʊ . x a . n . t͡sʼ w ɪ . ŋ
atlholwa	a . t͡lʰ ʊ . l w a
atlholwang	a . t͡lʰ ʊ . l w a . ŋ
atlholwe	a . t͡lʰ ʊ . l w ɪ
atlhotse	a . t͡lʰ ʊ . t͡sʼ ɪ
atlhotseng	a . t͡lʰ ʊ . t͡sʼ ɪ . ŋ
atlhotswe	a . t͡lʰ ʊ . t͡sʼ w ɪ
atlhotsweng	a . t͡lʰ ʊ . t͡sʼ w ɪ . ŋ
atologa	a . tʼ ʊ . l ʊ . x a
atologela	a . tʼ ʊ . l ʊ . x ɪ . l a
atologileng	a . tʼ ʊ . l ʊ . x i . l ɪ . ŋ
atolosa	a . tʼ ʊ . l ʊ . s a
atolosang	a . tʼ ʊ . l ʊ . s a . ŋ
atoloseditswe	a . tʼ ʊ . l ʊ . s ɪ . d i . t͡sʼ w ɪ
atolosediwa	a . tʼ ʊ . l ʊ . s ɪ . d i . w a
atoloseng	a . tʼ ʊ . l ʊ . s ɪ . ŋ
atolosetsa	a . tʼ ʊ . l ʊ . s ɪ . t͡sʼ a
atolositse	a . tʼ ʊ . l ʊ . s i . t͡sʼ ɪ
atolositswe	a . tʼ ʊ . l ʊ . s i . t͡sʼ w ɪ
atolositsweng	a . tʼ ʊ . l ʊ . s i . t͡sʼ w ɪ . ŋ
atolosiwa	a . tʼ ʊ . l ʊ . s i . w a
atshikinya	a . t͡sʰ i . kʼ i . ɲ a
atsing	a . t͡sʼ i . ŋ
ausi	a . u . s i
baabedi	b a . a . b ɪ . d i
baabelwa	b a . a . b ɪ . l w a
baagi	b a . a . x i
baaging	b a . a . x i . ŋ
baagisane	b a . a . x i . s a . n ɪ
baagisani	b a . a . x i . s a . n i
baakangwa	b a . a . kʼ a . ŋ w a
baakanngwa	b a . a . kʼ a . n . ŋ w a
baakanngwang	b a . a . kʼ a . n . ŋ w a . ŋ
baakanngwe	b a . a . kʼ a . n . ŋ w ɪ
baakantse	b a . a . kʼ a . n . t͡sʼ ɪ
baakantswe	b a . a . kʼ a . n . t͡sʼ w ɪ
baakantsweng	b a . a . kʼ a . n . t͡sʼ w ɪ . ŋ
baakanya	b a . a . kʼ a . ɲ a
baakanyang	b a . a . kʼ a . ɲ a . ŋ
baakanye	b a . a . kʼ a . ɲ ɪ
baakanyediwa	b a . a . kʼ a . ɲ ɪ . d i . w a
baakanyegile	b a . a . kʼ a . ɲ ɪ . x i . l ɪ
baakanyetsa	b a . a . kʼ a . ɲ ɪ . t͡sʼ a
baakanyetsang	b a . a . kʼ a . ɲ ɪ . t͡sʼ a . ŋ
baakanyetsi	b a . a . kʼ a . ɲ ɪ . t͡sʼ i
baakanyetswa	b a . a . kʼ a . ɲ ɪ . t͡sʼ w a
baakhoutu	b a . a . kʰ ʊ . u . tʼ u
baamedi	b a . a . m ɪ . d i
baamogeding	b a . a . m ʊ . x ɪ . d i . ŋ
baamogela	b a . a . m ʊ . x ɪ . l a
baamogeladitshiamelo	b a . a . m ʊ . x ɪ . l a . d i . t͡sʰ i . a . m ɪ . l ʊ
baamogeladitshiamelong	b a . a . m ʊ . x ɪ . l a . d i . t͡sʰ i . a . m ɪ . l ʊ . ŋ
baamogeladitshwanelo	b a . a . m ʊ . x ɪ . l a . d i . t͡sʰ w a . n ɪ . l ʊ
baamogelatlhotlhwa	b a . a . m ʊ . x ɪ . l a . t͡lʰ ʊ . t͡lʰ w a
baamogeleditshwanelo	b a . a . m ʊ . x ɪ . l ɪ . d i . t͡sʰ w a . n ɪ . l ʊ
baanelwa	b a . a . n ɪ . l w a
baatlelete	b a . a . t͡lʼ ɪ . l ɪ . tʼ ɪ
baatlhodi	b a . a . t͡lʰ ʊ . d i
baatlhodisi	b a . a . t͡lʰ ʊ . d i . s i
baba	b a . b a
babadi	b a . b a . d i
babalela	b a . b a . l ɪ . l a
babalesega	b a . b a . l ɪ . s ɪ . x a
babalesegang	b a . b a . l ɪ . s ɪ . x a . ŋ
babalesege	b a . b a . l ɪ . s ɪ . x ɪ
babalesegile	b a . b a . l ɪ . s ɪ . x i . l ɪ
babalesegileng	b a . b a . l ɪ . s ɪ . x i . l ɪ . ŋ
babaletse	b a . b a . l ɪ . t͡sʼ ɪ
babatlisisi	b a . b a . t͡lʼ i . s i . s i
babatlisising	b a . b a . t͡lʼ i . s i . s i . ŋ
babatsa	b a . b a . t͡sʼ a
babayatlhotlhwa	b a . b a . j a . t͡lʰ ʊ . t͡lʰ w a
babedi	b a . b ɪ . d i
babeeletsi	b a . b ɪ . ɪ . l ɪ . t͡sʼ i
babegadikgang	b a . b ɪ . x a . d i . k͡x a . ŋ
babegakgang	b a . b ɪ . x a . k͡x a . ŋ
babelaelwa	b a . b ɪ . l a . ɪ . l w a
babelegisi	b a . b ɪ . l ɪ . x i . s i
babitiedi	b a . b i . tʼ i . ɪ . d i
babogedi	b a . b ʊ . x ɪ . d i
babolai	b a . b ʊ . l a . i
babotlana	b a . b ʊ . t͡lʼ a . n a
babuadipuo	b a . b u . a . d i . pʼ u . ʊ
babueledi	b a . b u . ɪ . l ɪ . d i
babui	b a . b u . i
babuisi	b a . b u . i . s i
babusakgotla	b a . b u . s a . k͡x ʊ . t͡lʼ a
babusi	b a . b u . s i
badilwe	b a . d i . l w ɪ
badilweng	b a . d i . l w ɪ . ŋ
badimo	b a . d i . m ʊ
badimong	b a . d i . m ʊ . ŋ
badira	b a . d i . r a
badiradikopo	b a . d i . r a . d i . kʼ ʊ . pʼ ʊ
badiraditshupetso	b a . d i . r a . d i . t͡sʰ u . pʼ ɪ . t͡sʼ ʊ
badiragatsi	b a . d i . r a . x a . t͡sʼ i
badiragatsibagolo	b a . d i . r a . x a . t͡sʼ i . b a . x ʊ . l ʊ
badirakopo	b a . d i . r a . kʼ ʊ . pʼ ʊ
badiramaikemesetsong	b a . d i . r a . m a . i . kʼ ɪ . m ɪ . s ɪ . t͡sʼ ʊ . ŋ
badirameepong	b a . d i . r a . m ɪ . ɪ . pʼ ʊ . ŋ
badirammogo	b a . d i . r a . m . m ʊ . x ʊ
badiramolato	b a . d i . r a . m ʊ . l a . tʼ ʊ
badiredi	b a . d i . r ɪ . d i
badiredimmuso	b a . d i . r ɪ . d i . m . m u . s ʊ
badiredipuso	b a . d i . r ɪ . d i . pʼ u . s ʊ
badirelwa	b a . d i . r ɪ . l w a
badirelweng	b a . d i . r ɪ . l w ɪ . ŋ
badiri	b a . d i . r i
badirimmogo	b a . d i . r i . m . m ʊ . x ʊ
badirimmogong	b a . d i . r i . m . m ʊ . x ʊ . ŋ
badiring	b a . d i . r i . ŋ
badirisani	b a . d i . r i . s a . n i
badirisanimmogo	b a . d i . r i . s a . n i . m . m ʊ . x ʊ
badirisi	b a . d i . r i . s i
badirisimelemo	b a . d i . r i . s i . m ɪ . l ɪ . m ʊ
badirising	b a . d i . r i . s i . ŋ
badisi	b a . d i . s i
baditshaba	b a . d i . t͡sʰ a . b a
baditšhaba	b a . d i . t͡ʃʰ a . b a
badiwa	b a . d i . w a
baduelalekgetho	b a . d u . ɪ . l a . l ɪ . k͡x ɪ . tʰ ʊ
badumedi	b a . d u . m ɪ . d i
baelatlhoko	b a . ɪ . l a . t͡lʰ ʊ . kʼ ʊ
baeletsi	b a . ɪ . l ɪ . t͡sʼ i
baemanokeng	b a . ɪ . m a . n ʊ . kʼ ɪ . ŋ
baemedi	b a . ɪ . m ɪ . d i
baemeding	b a . ɪ . m ɪ . d i . ŋ
baemeladitshenyegelo	b a . ɪ . m ɪ . l a . d i . t͡sʰ ɪ . ɲ ɪ . x ɪ . l ʊ
baeng	b a . ɪ . ŋ
baesekele	b a . ɪ . s ɪ . kʼ ɪ . l ɪ
baeteledipele	b a . ɪ . tʼ ɪ . l ɪ . d i . pʼ ɪ . l ɪ
baeteledipeleng	b a . ɪ . tʼ ɪ . l ɪ . d i . pʼ ɪ . l ɪ . ŋ
bafatlhosi	b a . f a . t͡lʰ ʊ . s i
bafetoledi	b a . f ɪ . tʼ ʊ . l ɪ . d i
bafetoleding	b a . f ɪ . tʼ ʊ . l ɪ . d i . ŋ
bafitlhamakgaolakgang	b a . f i . t͡lʰ a . m a . k͡x a . ʊ . l a . k͡x a . ŋ
bafitlhamakgaolakgannye	b a . f i . t͡lʰ a . m a . k͡x a . ʊ . l a . k͡x a . n . ɲ ɪ
bafitlhelelamakgaolakgang	b a . f i . t͡lʰ ɪ . l ɪ . l a . m a . k͡x a . ʊ . l a . k͡x a . ŋ
bagae	b a . x a . ɪ
bagaetsho	b a . x a . ɪ . t͡sʰ ʊ
bagaka	b a . x a . kʼ a
bagakolodi	b a . x a . kʼ ʊ . l ʊ . d i
bagale	b a . x a . l ɪ
baganetsi	b a . x a . n ɪ . t͡sʼ i
bagarona	b a . x a . r ʊ . n a
bagatisi	b a . x a . tʼ i . s i
bagatising	b a . x a . tʼ i . s i . ŋ
bagodi	b a . x ʊ . d i
bagodisi	b a . x ʊ . d i . s i
bagokaganyi	b a . x ʊ . kʼ a . x a . ɲ i
bagokolodi	b a . x ʊ . kʼ ʊ . l ʊ . d i
bagolo	b a . x ʊ . l ʊ
bagolwane	b a . x ʊ . l w a . n ɪ
bagomotsi	b a . x ʊ . m ʊ . t͡sʼ i
bahumanegi	b a . h u . m a . n ɪ . x i
baikaegi	b a . i . kʼ a . ɪ . x i
baikepi	b a . i . kʼ ɪ . pʼ i
baikgantshi	b a . i . k͡x a . n . t͡sʰ i
baikwadisi	b a . i . kʼ w a . d i . s i
baimana	b a . i . m a . n a
baipelaetsi	b a . i . pʼ ɪ . l a . ɪ . t͡sʼ i
baiseraele	b a . i . s ɪ . r a . ɪ . l ɪ
baithuta	b a . i . tʰ u . tʼ a
baithutadipuo	b a . i . tʰ u . tʼ a . d i . pʼ u . ʊ
baithutedi	b a . i . tʰ u . tʼ ɪ . d i
baithuti	b a . i . tʰ u . tʼ i
baithuting	b a . i . tʰ u . tʼ i . ŋ
baitlhaodi	b a . i . t͡lʰ a . ʊ . d i
baitseanapeng	b a . i . t͡sʼ ɪ . a . n a . pʼ ɪ . ŋ
baitsegotlhe	b a . i . t͡sʼ ɪ . x ʊ . t͡lʰ ɪ
baka	b a . kʼ a
bakaedi	b a . kʼ a . ɪ . d i
bakaelo	b a . kʼ a . ɪ . l ʊ
bakang	b a . kʼ a . ŋ
bakatisi	b a . kʼ a . tʼ i . s i
bakaulengwe	b a . kʼ a . u . l ɪ . ŋ w ɪ
bake	b a . kʼ ɪ
bakegang	b a . kʼ ɪ . x a . ŋ
bakela	b a . kʼ ɪ . l a
bakelang	b a . kʼ ɪ . l a . ŋ
bakeng	b a . kʼ ɪ . ŋ
bakeresete	b a . kʼ ɪ . r ɪ . s ɪ . tʼ ɪ
baketse	b a . kʼ ɪ . t͡sʼ ɪ
bakgatla	b a . k͡x a . t͡lʼ a
bakgatlhegedi	b a . k͡x a . t͡lʰ ɪ . x ɪ . d i
bakgokaganyi	b a . k͡x ʊ . kʼ a . x a . ɲ i
bakgweetsi	b a . k͡x w ɪ . ɪ . t͡sʼ i
bakgweetsing	b a . k͡x w ɪ . ɪ . t͡sʼ i . ŋ
bakhoutu	b a . kʰ ʊ . u . tʼ u
baki	b a . kʼ i
bakile	b a . kʼ i . l ɪ
bakileng	b a . kʼ i . l ɪ . ŋ
bakilwe	b a . kʼ i . l w ɪ
bakilweng	b a . kʼ i . l w ɪ . ŋ
bakiwang	b a . kʼ i . w a . ŋ
bakopa	b a . kʼ ʊ . pʼ a
bakopalefe	b a . kʼ ʊ . pʼ a . l ɪ . f ɪ
bakwa	b a . kʼ w a
bakwadi	b a . kʼ w a . d i
bakwadisi	b a . kʼ w a . d i . s i
bakwaledi	b a . kʼ w a . l ɪ . d i
bakwang	b a . kʼ w a . ŋ
bala	b a . l a
balabala	b a . l a . b a . l a
balala	b a . l a . l a
balang	b a . l a . ŋ
balaodi	b a . l a . ʊ . d i
balaolapharakano	b a . l a . ʊ . l a . pʰ a . r a . kʼ a . n ʊ
balapa	b a . l a . pʼ a
balatofadiwa	b a . l a . tʼ ʊ . f a . d i . w a
bale	b a . l ɪ
balebeledi	b a . l ɪ . b ɪ . l ɪ . d i
baleetsadiphala	b a . l ɪ . ɪ . t͡sʼ a . d i . pʰ a . l a
baleetsaphala	b a . l ɪ . ɪ . t͡sʼ a . pʰ a . l a
balekane	b a . l ɪ . kʼ a . n ɪ
balekaneng	b a . l ɪ . kʼ a . n ɪ . ŋ
balekani	b a . l ɪ . kʼ a . n i
balekanyetsi	b a . l ɪ . kʼ a . ɲ ɪ . t͡sʼ i
balekeletsi	b a . l ɪ . kʼ ɪ . l ɪ . t͡sʼ i
