ababalulekile	ababa{lulek}ile
abangabathuthukisi	abangaba{thuthukisi}
abangabazi	abangaba{zi}
abangabekelwe	abangabe{kelwe}
abangabeluleki	abangabe{luleki}
abangabesifazane	abangabe{sifaz}ane
abangaboni	abangabo{ni}
abangafaka	abanga{faka}
abangafanele	abanga{fanele}
abangafanelekile	abanga{fanelekile}
abangafundile	abanga{fundile}
abangafuni	abanga{funi}
abangahambisani	abanga{hambisani}
abangahlali	abanga{hlali}
abangahlangabezana	abanga{hlangabez}ana
abangahle	abanga{hle}
abangakazalwa	abangak{azalwa}
abangakaze	abangak{aze}
abangakhulumi	abangak{hulumi}
abangakusho	abangaku{sho}
abangakwazanga	abangakw{azanga}
abangakwazi	abangakw{azi}
abangakweluleka	abangakw{eluleka}
abangakwenza	abangakw{enza}
abangama	abangam{a}
abangamakholwa	abangama{kholwa}
abangamakhulu	abangama{khulu}
abangamalunga	abangama{lunga}
abangamalungu	abangama{lungu}
abangamantombazane	abangama{ntombaz}ane
abangamaphini	abangama{phini}
abangamazi	abangama{zi}
abangamelwe	abangame{lwe}
abangane	abangan{e}
abangani	abangani
abanganikwa	abangan{ikwa}
abangaphakathi	abanga{phakathi}
abangaphambili	abanga{phambili}
abangaphandle	abanga{phandle}
abangaphansi	abanga{phansi}
abangaphezu	abanga{phezu}
abangaphezulu	abanga{phezulu}
abangaphumelelanga	aba{ngaphumelel}anga
abangaqhubeka	abanga{qhubeka}
abangaqondene	abanga{qondene}
abangasasebenzi	abangasa{sebenzi}
abangase	abangas{e}
abangasebenzeli	abangas{ebenzeli}
abangasebenzi	abangas{ebenzi}
abangasebenzisi	abangas{ebenzisi}
abangasekho	abangas{ekho}
abangasetshenziswa	abangas{etshenziswa}
abangathanda	abanga{thanda}
abangathandi	abanga{thandi}
abangathatha	abanga{thatha}
abangathola	abanga{thola}
abangatholakala	abanga{tholakala}
abangathwalwa	abanga{thwalwa}
abangawulindela	abangaw{ulindela}
abangayenza	abangay{enza}
abangayenzi	abangay{enzi}
abangazange	abangaz{ange}
abangazi	abangaz{i}
abangazithola	abangazi{thola}
abangaziwa	abangazi{wa}
abangcono	abang{cono}
abangeke	abangek{e}
abangekho	abangek{ho}
abangela	abange{la}
abangele	abange{le}
abangena	abangen{a}
abangenamakhaya	abangen{amakhaya}
abangenamandla	abangen{amandla}
abangenayo	abangen{ayo}
abangene	abangen{e}
abangenele	abangen{ele}
abangeni	abangen{i}
abangenza	abangen{za}
abangenzi	abangen{zi}
abangezanga	abangez{anga}
abangezwa	abangez{wa}
abangisebenzelayo	abangi{sebenzela}yo
abangohlobo	abango{hlobo}
abanikazi	aban{i}kazi
abanikela	abanik{ela}
abanikelayo	abani{kela}yo
abanikele	abanik{ele}
abaningana	abanin{g}ana
abaningi	abanin{gi}
abanjalo	aban{jalo}
abanjani	aban{jani}
abanomsebenzi	abanom{sebenzi}
abanti	aban{ti}
abantu	aban{tu}
abantwana	aban{tw}ana
abanumzane	abanum{z}ane
abanye	abanye
abaphakathi	aba{phakathi}
abaphambili	aba{phambili}
abaphansi	aba{phansi}
abaphatha	aba{phatha}
abaphathekile	aba{phathek}ile
abaphathelene	aba{phathelen}e
abaphathi	aba{phathi}
abaphathimandla	aba{phathimandla}
abaphathwa	aba{phathwa}
abaphelele	aba{phelel}e
abaphelelwe	aba{phelelw}e
abaphendula	aba{phendula}
abaphethe	aba{pheth}e
abaphethwe	aba{phethw}e
abaphezulu	aba{phezulu}
abaphikisana	aba{phikis}ana
abaphila	aba{phila}
abaphilayo	aba{phila}yo
abaphile	aba{ph}ile
abaphilile	aba{phil}ile
abaphinda	aba{phinda}
abaphinde	aba{phind}e
abaphuma	aba{phuma}
abaphumelela	aba{phumelela}
abaphumelelayo	aba{phumelela}yo
abaphumelele	aba{phumelel}e
abaphuthile	aba{phuth}ile
abaqala	aba{qala}
abaqhubeka	aba{qhubeka}
abaqhubekayo	aba{qhubeka}yo
abaqhubekela	aba{qhubekela}
abaqhubekele	aba{qhubekel}e
abaqikelela	aba{qikelela}
abaqonda	aba{qonda}
abaqonde	aba{qond}e
abaqondene	aba{qonden}e
abasebencane	aba{sebenc}ane
abasebenza	aba{sebenza}
abasebenzayo	aba{sebenza}yo
abasebenze	aba{sebenz}e
abasebenzela	aba{sebenzela}
abasebenzi	aba{sebenzi}
abasebenzisa	aba{sebenzisa}
abasebenzisana	aba{sebenzis}ana
abasebenzisanayo	aba{sebenzisana}yo
abasebenzisayo	aba{sebenzisa}yo
abasebenzisi	aba{sebenzisi}
abasekhaya	aba{sekhaya}
abasekho	aba{sekho}
abasekhona	aba{sekhona}
abasemadolobheni	aba{semadolobheni}
abasemaphandleni	aba{semaphandleni}
abasemqoka	aba{semqoka}
abasemsebenzini	aba{semsebenzini}
abasemthethweni	aba{semthethweni}
abasesigabeni	aba{sesigabeni}
abasesikhundleni	aba{sesikhundleni}
abasha	aba{sha}
abashaya	aba{shaya}
abashona	aba{shona}
abasuka	aba{suka}
abasuke	aba{suk}e
abasukela	aba{sukela}
abathakathi	aba{thakathi}
abathanda	aba{thanda}
abathandayo	aba{thanda}yo
abathandi	aba{thandi}
abathatha	aba{thatha}
abathathe	aba{thath}e
abathathiwe	aba{thathiw}e
abathathu	aba{thathu}
abathathwa	aba{thathwa}
abathembisa	aba{thembisa}
abathi	aba{thi}
abathile	aba{th}ile
abathintana	aba{thint}ana
abathintekayo	aba{thinteka}yo
abathize	aba{thiz}e
abathola	aba{thola}
abatholakala	aba{tholakala}
abathole	aba{thol}e
abatholwe	aba{tholw}e
abathumela	aba{thumela}
abathuthi	aba{thuthi}
abathuthukayo	aba{thuthuka}yo
abathuthukisa	aba{thuthukisa}
abathuthukisi	aba{thuthukisi}
abathwa	aba{thwa}
abathwala	aba{thwala}
abavumelekile	aba{vumelek}ile
abaya	abay{a}
abaye	abay{e}
abayenzayo	abayen{zayo}
abayisebenzelayo	abayi{sebenzela}yo
abayisebenzisayo	abayi{sebenzisa}yo
abayisikhombisa	abayisi{khombisa}
abazala	aba{zala}
abazali	aba{zali}
abazalwa	aba{zalwa}
abazange	aba{zang}e
abazi	aba{zi}
abazifundayo	abazi{funda}yo
abaziphatha	abazi{phatha}
abazisebenzayo	abazi{sebenza}yo
abazisebenzela	abazi{sebenzela}
abazisebenzelayo	abazi{sebenzela}yo
abazisebenzisayo	abazi{sebenzisa}yo
abazithandayo	abazi{thanda}yo
abazithola	abazi{thola}
abaziyo	aba{ziyo}
abe	a{b}e
abebanga	abeba{nga}
abefundisi	abe{fundisi}
abejwayelekile	abe{jwayelek}ile
abekho	abe{kho}
abekhona	abe{khona}
abekhuluma	abe{khuluma}
abeluleka	abelu{leka}
abelungu	abe{lungu}
abemishani	a{bemish}ani
abenza	aben{za}
abenze	aben{ze}
abenziwa	aben{ziwa}
abese	abe{s}e
abesebenza	abe{sebenza}
abesethi	abe{sethi}
abesifazane	abesi{fazan}e
abhala	ab{hala}
abhale	ab{hal}e
abhaliwe	ab{haliw}e
abhalwa	ab{halwa}
abhalwe	ab{halw}e
abheka	ab{heka}
abheke	ab{hek}e
abhekela	ab{hekela}
abhekele	ab{hekel}e
abhekelela	ab{hekelela}
abhekelele	ab{hekelel}e
abhekelelwe	ab{hekelelw}e
abhekene	ab{heken}e
abo	{abo}
abomphakathi	{abomphakathi}
abona	abo{na}
abonakala	abo{nakala}
abonakale	abo{nakal}e
abonane	abo{nan}e
abone	abo{n}e
abonelelwe	abo{nelelw}e
abuye	abuy{e}
acabange	a{cabang}e
adlale	a{dlal}e
adlule	a{dlul}e
afake	a{fak}e
afana	{af}ana
afane	{af}ane
afanele	a{fanel}e
afanelekayo	a{fanelek}ayo
afanelekile	a{fanelek}ile
afe	a{f}e
afike	a{fik}e
afikelele	a{fikelel}e
afuna	a{fun}a
afunda	a{fund}a
afunde	a{fund}e
afundisa	a{fundis}a
afundise	a{fundis}e
afundiswe	a{fundisw}e
afundwa	a{fundw}a
agcine	a{gcin}e
aghambhukele	a{ghambhukel}e
agxamalaze	a{gxamalaz}e
ahambe	a{hamb}e
ahambisa	a{hambis}a
ahambisana	{ahambis}ana
ahambisanayo	a{hambisan}ayo
ahlala	a{hlal}a
ahlale	a{hlal}e
ahlangane	{ahlang}ane
ahlanzekile	a{hlanzek}ile
ahlelekile	a{hlelek}ile
akabange	akaba{ng}e
akabe	aka{b}e
akaboni	akabo{ni}
akade	aka{d}e
akadingi	aka{dingi}
akafanele	aka{fanel}e
akafile	aka{f}ile
akafuni	aka{funi}
akahulumeni	aka{hulumeni}
akakwazi	akakwa{zi}
akala	aka{la}
akalindelekile	akali{ndelek}ile
akanalo	akanalo
akangitshelanga	akangi{tshel}anga
akasahlali	akasa{hlali}
akasebenzi	aka{sebenzi}
akasebenzise	aka{sebenzis}e
akasebenzisi	aka{sebenzisi}
akasekho	ak{asekho}
akashongo	ak{ashongo}
akasona	aka{sona}
akathandi	aka{thandi}
akatholakali	aka{tholakali}
akayazi	akayaz{i}
akazange	aka{zang}e
akaze	aka{z}e
akazi	{a}kazi
ake	ak{e}
akekho	ak{ekho}
akhe	ak{h}e
akhethekile	ak{hethek}ile
akhiphele	ak{hiphel}e
akho	ak{ho}
akhombisa	ak{hombisa}
akhona	ak{hona}
akhululekile	ak{hululek}ile
akhuluma	ak{huluma}
akhulume	ak{hulum}e
akithi	ak{ithi}
akubalulekile	akuba{lulek}ile
akubekhona	aku{bekhona}
akubhale	aku{bhal}e
akubhalile	aku{bhal}ile
akubhalwa	aku{bhalwa}
akubona	akubo{na}
akubonakala	akubo{nakala}
akubonakali	akubo{nakali}
akubone	akubo{n}e
akudingeki	aku{dingeki}
akudingekile	aku{dingek}ile
akudingelekile	aku{dingelek}ile
akufanele	aku{fanel}e
akufanelekile	aku{fanelek}ile
akufundayo	aku{funda}yo
akufundele	aku{fundel}e
akufuneki	aku{funeki}
akukabi	akuka{bi}
akukhathelekile	aku{khathelek}ile
akukho	aku{kho}
akukhomuntu	aku{khomuntu}
akukhona	aku{khona}
akukhulanga	aku{khul}anga
akukhulunywa	aku{khulunywa}
akulindelekile	akuli{ndelek}ile
akulula	akulu{la}
akulungile	akulu{ng}ile
akulutho	aku{lutho}
akungeni	akungen{i}
akunjalo	akun{jalo}
akuphelanga	aku{phel}anga
akuphele	aku{phel}e
akuphephile	aku{pheph}ile
akuqala	aku{qala}
akuqaphele	aku{qaphel}e
akusebenzise	aku{sebenzis}e
akusekho	aku{sekho}
akusho	aku{sho}
akusikhona	akusi{khona}
akusizi	akusi{zi}
akuthandayo	aku{thanda}yo
akuthatheki	aku{thatheki}
akuthathwa	aku{thathwa}
akuthathwe	aku{thathw}e
akuthola	aku{thola}
akutholakali	aku{tholakali}
akutshele	aku{tshel}e
akuvumelekile	aku{vumelek}ile
akuyona	akuyon{a}
akuzange	aku{zang}e
akwanele	akwan{ele}
akwazi	akwaz{i}
akwaziyo	akwazi{yo}
akwenzayo	akwen{zayo}
akwenziwa	akwen{ziwa}
alala	ala{la}
alalele	ala{lel}e
alikho	ali{kho}
alinde	alin{de}
alitsheli	ali{tsheli}
alo	{alo}
ama	am{a}
amabanga	ama{banga}
amabele	ama{bele}
amabhodlela	ama{bhodlela}
amabhokisi	ama{bhokisi}
amabhuku	ama{bhuku}
amabi	ama{bi}
amabili	ama{bili}
amabombo	ama{bombo}
amacansi	ama{cansi}
amachwane	ama{chw}ane
amadala	ama{dala}
amadoda	ama{doda}
amadodana	ama{dod}ana
amadolo	ama{dolo}
amadolobha	ama{dolobha}
amafomu	ama{fomu}
amagama	ama{gama}
amagciwane	ama{gciw}ane
amagula	ama{gula}
amahlalakhona	ama{hlalakhona}
amahlandla	ama{hlandla}
amahlanu	ama{hlanu}
amahlathi	ama{hlathi}
amahlaya	ama{hlaya}
amahle	ama{hle}
amahlelo	ama{hlelo}
amahlumela	ama{hlumela}
amahola	ama{hola}
amaholide	ama{holide}
amakhala	ama{khala}
amakhambi	ama{khambi}
amakhanda	ama{khanda}
amakhandlela	ama{khandlela}
amakhansela	ama{khansela}
amakhaya	ama{khaya}
amakhehla	ama{khehla}
amakhethini	ama{khethini}
amakholwa	ama{kholwa}
amakhona	ama{khona}
amakhondomu	ama{khondomu}
amakhono	ama{khono}
amakhosi	ama{khosi}
amakhosikazi	ama{khosi}kazi
amakhubalo	ama{khubalo}
amakhulu	ama{khulu}
amakhulukazi	ama{khulu}kazi
amakilasi	ama{kilasi}
amakomidi	ama{komidi}
amalangabi	ama{langabi}
amalunga	ama{lunga}
amalungelo	ama{lungelo}
amalungiselelo	ama{lungiselelo}
amalungu	ama{lungu}
amaminithi	ama{minithi}
amancane	ama{nc}ane
amandla	ama{ndla}
amane	ama{ne}
amanga	ama{nga}
amaningi	ama{ningi}
amanje	ama{nje}
amanoveli	ama{noveli}
amantombazana	ama{ntombaz}ana
amantombazane	ama{ntombaz}ane
amanxeba	ama{nxeba}
amanye	ama{nye}
amanzi	ama{nzi}
amaphakathi	ama{phakathi}
amaphepha	ama{phepha}
amaphephandaba	ama{phephandaba}
amaphesenti	ama{phesenti}
amapheshana	ama{phesh}ana
amaphethelo	ama{phethelo}
amaphethini	ama{phethini}
amaphethishini	ama{phethishini}
amaphimbo	ama{phimbo}
amaphini	ama{phini}
amaphupho	ama{phupho}
amaphutha	ama{phutha}
amaphuzu	ama{phuzu}
amaqatha	ama{qatha}
amaqembu	ama{qembu}
amaqhinga	ama{qhinga}
amaqiniso	ama{qiniso}
amaqophelo	ama{qophelo}
amasaka	ama{saka}
amasi	ama{si}
amasiko	ama{siko}
amasimu	ama{simu}
amasoka	ama{soka}
amasonto	ama{sonto}
amasu	ama{su}
amaswidi	ama{swidi}
amathambo	ama{thambo}
amathathu	ama{thathu}
amathe	ama{the}
amathemba	ama{themba}
amathini	ama{thini}
amathole	ama{thole}
amathuba	ama{thuba}
amathumbu	ama{thumbu}
amatoho	ama{toho}
amatshe	ama{tshe}
amaxha	ama{xha}
amaxhaka	ama{xhaka}
amaxhakela	ama{xhakela}
amaxhumela	ama{xhumela}
amazimu	ama{zimu}
amazinga	ama{zinga}
amazwa	ama{zwa}
amazwe	ama{zwe}
amazweni	ama{zweni}
amazwi	ama{zwi}
amehlo	ame{hlo}
amenza	ame{nza}
ami	am{i}
amklinye	am{kliny}e
amklunyule	am{klunyul}e
amtshele	am{tshel}e
amukho	amu{kho}
anele	ane{le}
angaba	anga{ba}
angabakhona	angaba{khona}
angabamba	angaba{mba}
angabangela	angabange{la}
angabaphathi	angaba{phathi}
angabe	anga{b}e
angabeka	angabe{ka}
angabeluleki	angabe{luleki}
angabhala	anga{bhala}
angabheka	anga{bheka}
angabhekana	anga{bhek}ana
angabhekani	anga{bhekani}
angabona	anga{bona}
angabonakali	angabo{nakali}
angafa	anga{fa}
angafuna	anga{funa}
angafunda	anga{funda}
angafundelwa	anga{fundelwa}
angagcina	anga{gcina}
angahambi	anga{hambi}
angahambisana	anga{hambis}ana
angahambisani	anga{hambisani}
angahlala	anga{hlala}
angahlali	anga{hlali}
angahlangana	anga{hlang}ana
angahlangani	anga{hlangani}
angahle	anga{hl}e
angahlela	anga{hlela}
angahlelwa	anga{hlelwa}
angakabhalwa	angak{abhalwa}
angakathethwa	angak{athethwa}
angakatholakali	angaka{tholakali}
angakazi	ang{a}kazi
angakhetha	angak{hetha}
angakhethwa	angak{hethwa}
angakhipha	angak{hipha}
angakhishwa	angak{hishwa}
angakholwa	angak{holwa}
angakhomba	angak{homba}
angakhombisa	angak{hombisa}
angakhuluma	angak{huluma}
angakuphendula	angaku{phendula}
angakwazi	angakw{azi}
angakwenza	angakw{enza}
angakwenzi	angakw{enzi}
angalindela	angalin{dela}
angalokothi	angalok{othi}
angamabili	angama{bili}
angamakhulu	angama{khulu}
angamalunga	angama{lunga}
angamalungu	angama{lungu}
angamazi	angama{zi}
angangena	angan{gena}
angangenza	angan{genza}
angangitshela	angangi{tshela}
anganikela	angani{kela}
angaphakathi	anga{phakathi}
angaphambi	anga{phambi}
angaphambili	anga{phambili}
angaphandle	anga{phandl}e
angaphansi	anga{phansi}
angaphatheka	anga{phatheka}
angaphathwa	anga{phathwa}
angaphawula	anga{phawula}
angaphelele	anga{phelel}e
angaphendula	anga{phendula}
angaphendulwa	anga{phendulwa}
angaphezu	anga{phezu}
angaphezulu	anga{phezulu}
angaphila	anga{phila}
angaphinda	anga{phinda}
angaphinde	anga{phind}e
angaphindi	anga{phindi}
angaphuma	anga{phuma}
angaphumelela	anga{phumelela}
angaqhubeka	anga{qhubeka}
angasasebenzi	angasa{sebenzi}
angase	angas{e}
angasebenza	angas{ebenza}
angasebenzi	angas{ebenzi}
angasebenzisa	angas{ebenzisa}
angasebenzisi	angas{ebenzisi}
angasekho	angas{ekho}
angasetshenziswa	angas{etshenziswa}
angashaya	angas{haya}
angashayela	angas{hayela}
angasho	angas{ho}
angashona	angas{hona}
angasibona	angasi{bona}
angathanda	anga{thanda}
angathatha	anga{thatha}
angathathelwa	anga{thathelwa}
angathathi	anga{thathi}
angathathwa	anga{thathwa}
angathi	anga{thi}
angathini	anga{thini}
angathintana	anga{thint}ana
angathola	anga{thola}
angatholakala	anga{tholakala}
angatholwa	anga{tholwa}
angathumela	anga{thumela}
angathwala	anga{thwala}
angatshela	anga{tshela}
angatsheleka	anga{tsheleka}
angawasebenzisa	angawas{ebenzisa}
angawusebenzisa	angawu{sebenzisa}
angayibona	angayi{bona}
angayithatha	angayi{thatha}
angazanga	angaz{anga}
angaze	angaz{e}
angazi	angaz{i}
angazikhethela	angazi{khethela}
angazisebenzisa	angazi{sebenzisa}
angaziswa	angazi{swa}
angazithatha	angazi{thatha}
angazithola	angazi{thola}
angaziwa	angaziw{a}
angeke	angek{e}
angekho	angek{ho}
angempela	angem{pela}
angena	angen{a}
angenayo	angen{ayo}
angene	angen{e}
angengaphansi	angen{gaphansi}
angengaphezulu	angen{gaphezulu}
angenhla	angen{hla}
angeni	angen{i}
angenza	angen{za}
angenziwa	angen{ziwa}
angenziwanga	angen{ziwanga}
angezinye	angezin{ye}
angiboni	angibo{ni}
angidlali	angi{dlali}
angifuni	angi{funi}
angihambe	angi{hamb}e
angihambisani	angi{hambisani}
angikaze	angika{z}e
angikholwa	angik{holwa}
angikufundiselanga	angiku{fundisel}anga
angikushiye	angiku{shiy}e
angikusho	angiku{sho}
angikutshelanga	angiku{tshel}anga
angikwazi	angikwa{zi}
anginandaba	anginan{daba}
angingabazi	angingaba{zi}
angiphephile	angi{pheph}ile
angiphinde	angi{phind}e
angiqhubeke	angi{qhubek}e
angiqondanga	angi{qond}anga
angiqonde	angi{qond}e
angisakhulumi	angisa{khulumi}
angisazimisele	angisazi{misel}e
angisebenzi	angis{ebenzi}
angisenawo	angis{enawo}
angishaye	angis{haye}
angisho	angis{ho}
angishongo	angis{hongo}
angithandi	angi{thandi}
angithathe	angi{thath}e
angithathile	angi{thath}ile
angithi	angi{thi}
angitshela	angi{tshela}
angitshele	angi{tshel}e
angiyazi	angiyaz{i}
angizange	angiz{ange}
angizimisele	angizim{isele}
angizwa	angiz{wa}
angu	ang{u}
aniboni	anibo{ni}
anike	anik{e}
anikwe	anikw{e}
anokusetshenziswa	anoku{setshenziswa}
anqunywe	an{qunyw}e
aphakathi	{aphakathi}
aphambili	{aphambili}
aphansi	{aphansi}
aphaphame	a{phapham}e
aphatha	a{phath}a
aphathekayo	a{phathek}ayo
aphathelene	a{phathelen}e
aphathwa	a{phathw}a
aphelela	a{phelel}a
aphelele	a{phelel}e
aphendula	a{phendul}a
aphephile	a{pheph}ile
aphethe	a{pheth}e
aphezulu	{aphezulu}
aphinda	a{phind}a
aphinde	a{phind}e
aphindele	a{phindel}e
aphuma	a{phum}a
aphume	a{phum}e
aphumela	a{phumel}a
aphumele	a{phumel}e
aphumelela	a{phumelel}a
aphumelele	a{phumelel}e
aqala	a{qal}a
aqale	a{qal}e
aqede	a{qed}e
aqhubeka	a{qhubek}a
aqhubeke	a{qhubek}e
aqhubekele	a{qhubekel}e
aqikelele	a{qikelel}e
aqome	a{qom}e
aqonde	a{qond}e
asale	asa{l}e
asasebenza	asa{sebenza}
asazi	as{azi}
asebekhona	as{ebekhona}
asebenza	as{ebenza}
asebenzayo	as{ebenza}yo
asebenze	as{ebenz}e
asebenzela	as{ebenzela}
asebenzele	as{ebenzel}e
asebenzisa	as{ebenzisa}
asebenzisana	as{ebenzis}ana
asebenzisanayo	as{ebenzisana}yo
asebenzisane	as{ebenzis}ane
asebenzise	as{ebenzis}e
asebenziseke	as{ebenzisek}e
asebusika	as{ebusika}
asekhona	as{ekhona}
asemadolobheni	as{emadolobheni}
asemaphandleni	as{emaphandleni}
asemiphakathini	as{emiphakathini}
asemphakathini	as{emphakathini}
asemqoka	as{emqoka}
asengcono	as{engcono}
asentshenziswa	as{entshenziswa}
asentshenziswayo	as{entshenziswa}yo
asentshenziswe	as{entshenzisw}e
asesifundeni	as{esifundeni}
asethuthukile	as{ethuthuk}ile
asetshenziselwa	as{etshenziselwa}
asetshenziselwe	as{etshenziselw}e
asetshenzisiwe	as{etshenzisiw}e
asetshenziswa	as{etshenziswa}
asetshenziswayo	as{etshenziswa}yo
asetshenziwe	as{etshenziw}e
ashaye	as{hay}e
ashaywe	as{hayw}e
asheshe	as{hesh}e
asho	as{ho}
asifunde	asi{fund}e
asifundisa	asi{fundisa}
asihambeni	asi{hambeni}
asihlala	asi{hlala}
asikho	asi{kho}
asikhohlweni	asi{khohlweni}
asikhulume	asi{khulum}e
asikhulumeni	asi{khulumeni}
asikhulumi	asi{khulumi}
asikwazi	asikwa{zi}
asiphathe	asi{phath}e
asiphelele	asi{phelel}e
asiphethe	asi{pheth}e
asiphinde	asi{phind}e
asiqondile	asi{qond}ile
asisebenze	asi{sebenz}e
asisebenzi	asi{sebenzi}
asisebenzisane	asi{sebenzis}ane
asisebenziseni	asi{sebenziseni}
asisebenzisi	asi{sebenzisi}
asisho	asi{sho}
asitshele	asi{tshel}e
asiyeke	asiyek{e}
asizange	asi{zang}e
aso	as{o}
asuke	as{uk}e
athande	a{thand}e
athatha	a{thath}a
athathe	a{thath}e
athathwa	a{thathw}a
athe	a{th}e
athethelelwe	a{thethelelw}e
athi	{athi}
athile	a{th}ile
athize	a{thiz}e
atholakala	a{tholakal}a
athole	a{thol}e
athule	a{thul}e
athuthukile	a{thuthuk}ile
athuthukisa	a{thuthukis}a
athuthukiswe	a{thuthukisw}e
atshele	a{tshel}e
avamise	a{vamis}e
ave	a{v}e
aveze	a{vez}e
avuke	a{vuk}e
avule	a{vul}e
avume	a{vum}e
avumela	a{vumel}a
avumele	a{vumel}e
avumelekile	a{vumelek}ile
awabone	awa{bon}e
awasetshenziswe	awas{etshenziswe}
awazi	awaz{i}
awo	aw{o}
awokusetshenziselwa	awoku{setshenziselwa}
awu	aw{u}
awubhaliwe	awu{bhaliw}e
awubheke	awu{bhek}e
awuboni	awubo{ni}
awufundile	awu{fund}ile
awufuni	awu{funi}
awukho	awuk{ho}
awukhulumi	awuk{hulumi}
awukwazi	awukwa{zi}
awumthandi	awum{thandi}
awunalo	awunalo
awungitshele	awungi{tshele}
awusasebenzi	awusa{sebenzi}
awusebenzelayo	awus{ebenzelayo}
awusebenzi	awus{ebenzi}
awusebenzise	awus{ebenzise}
awusebenzisi	awus{ebenzisi}
awusho	awus{ho}
awuthi	awu{thi}
awuzange	awuz{ange}
