a	A:
aanneemouers	A: n i@ m @u @ r s
aanneming	A: n i@ m @ N
aannemings	A: n i@ m @ N s
aanpak	A: n p a k
aanpas	A: n p a s
aanpasbaar	A: n p a s b A: r
aanpasbaarheid	A: n p a s b A: r h\ @i t
aanpassing	A: n p a s @ N
aanpassings	A: n p a s @ N s
aanplant	A: n p l a n t
aanplanting	A: n p l a n t @ N
aanplantings	A: n p l a n t @ N s
aanpor	A: n p O r
aanraak	A: n r A: k
aanraking	A: n r A: k @ N
aanrand	A: n r a n t
aanranding	A: n r a n d @ N
aanrandings	A: n r a n d @ N s
aanrig	A: n r @ x
aanroep	A: n r u p
aanroer	A: n r u r
aanry	A: n r @i
aansien	A: n s i n
aansienlik	A: n s i n l @ k
aansienlike	A: n s i n l @ k @
aansig	A: n s @ x
aansigte	A: n s @ x t @
aansit	A: n s @ t
aansitter	A: n s @ t @ r
aanskaf	A: n s k a f
aanskakel	A: n s k A: k @ l
aanskou	A: n s k @u
aanskoue	A: n s k @u @
aanskoulik	A: n s k @u l @ k
aanskoulike	A: n s k @u l @ k @
aanskyn	A: n s k @i n
aanslaan	A: n s l A: n
aanslae	A: n s l A: @
aanslag	A: n s l a x
aanslagformule	A: n s l a x f O r m y l @
aansluit	A: n s l 9y t
aansluitend	A: n s l 9y t @ n t
aansluiting	A: n s l 9y t @ N
aansluitings	A: n s l 9y t @ N s
aansoek	A: n s u k
aansoeke	A: n s u k @
aansoeker	A: n s u k @ r
aansoekers	A: n s u k @ r s
aansoekprosedure	A: n s u k p r O s @ d y r @
aansoekvorm	A: n s u k f O r @ m
aansoekvorms	A: n s u k f O r @ m s
aanspoor	A: n s p u@ r
aansporing	A: n s p u@ r @ N
aansporings	A: n s p u@ r @ N s
aanspraak	A: n s p r A: k
aanspraakmaker	A: n s p r A: k m A: k @ r
aanspraakmakers	A: n s p r A: k m A: k @ r s
aansprake	A: n s p r A: k @
aanspreek	A: n s p r i@ k
aanspreeklik	A: n s p r i@ k l @ k
aanspreeklikhede	A: n s p r i@ k l @ k h\ i@ d @
aanspreeklikheid	A: n s p r i@ k l @ k h\ @i t
aanspreeksin	A: n s p r i@ k s @ n
aanspreekvorm	A: n s p r i@ k f O r m
aanstaan	A: n s t A: n
aanstaande	A: n s t A: n d @
aanstaar	A: n s t A: r
aanstaltes	A: n s t a l t @ s
aanstap	A: n s t a p
aansteek	A: n s t i@ k
aansteeklik	A: n s t i@ k l @ k
aansteeklike	A: n s t i@ k l @ k @
aanstel	A: n s t { l
aanstelling	A: n s t { l @ N
aanstellings	A: n s t { l @ N s
aansterk	A: n s t { r k
aanstoot	A: n s t u@ t
aanstootlik	A: n s t u@ t l @ k
aanstootlike	A: n s t u@ t l @ k @
aanstuur	A: n s t y r
aansuiwering	A: n s 9y v @ r @ N
aansuiwerings	A: n s 9y v @ r @ N s
aansuiweringsproefbalans	A: n s 9y v @ r @ N s p r u f b a l A: n s
aantal	A: n t a l
aantas	A: n t a s
aantasting	A: n t a s t @ N
aanteken	A: n t i@ k @ n
aantekening	A: n t i@ k @ n @ N
aantekeningboek	A: n t i@ k @ n @ N b u k
aantekeninge	A: n t i@ k @ n @ N @
aantog	A: n t O x
aantoon	A: n t u@ n
aantree	A: n t r i@
aantref	A: n t r E f
aantrek	A: n t r { k
aantrekkamer	A: n t r { k A: m @ r
aantrekking	A: n t r { k @ N
aantrekkingskrag	A: n t r { k @ N s k r a x
aantreklik	A: n t r { k l @ k
aantreklike	A: n t r { k l @ k @
aantrekliker	A: n t r { k l @ k @ r
aantreklikhede	A: n t r { k l @ k h\ i@ d @
aantreklikheid	A: n t r { k l @ k h\ @i t
aantreklikste	A: n t r { k l @ k s t @
aantyging	A: n t @i x @ N
aantygings	A: n t @i x @ N s
aanvaar	A: n f A: r
aanvaarbaar	A: n f A: r b A: r
aanvaarbaarheid	A: n f A: r b A: r h\ @i t
aanvaarbare	A: n f A: r b A: r @
aanvaarde	A: n f A: r d @
aanvaarding	A: n f A: r d @ N
aanval	A: n f a l
aanvalle	A: n f a l @
aanvallend	A: n f a l @ n t
aanvallende	A: n f a l @ n d @
aanvaller	A: n f a l @ r
aanvallers	A: n f a l @ r s
aanvang	A: n f a N
aanvangs	A: n f a N s
aanvangsfase	A: n f a N s f A: s @
aanvangskolwer	A: n f a N s k O l v @ r
aanvangskolwers	A: n f a N s k O l v @ r s
aanvangslees	A: n f a N s l i@ s
aanvangsmaat	A: n f a N s m A: t
aanvangsvoorraad	A: n f a N s f u@ r A: t
aanvanklik	A: n f a N k l @ k
aanvanklike	A: n f a N k l @ k @
aanvat	A: n f a t
aanverwante	A: n f @ r v a n t @
aanvoel	A: n f u l
aanvoeling	A: n f u l @ N
aanvoer	A: n f u r
aanvoerders	A: n f u r d @ r s
aanvoering	A: n f u r @ N
aanvraag	A: n f r A: x
aanvra	A: n f r A:
aanvul	A: n f 9 l
aanvullend	A: n f 9 l @ n t
aanvullende	A: n f 9 l @ n d @
aanvullers	A: n f 9 l @ r s
aanvullings	A: n f 9 l @ N s
aanvuur	A: n f y r
aanwakker	A: n v a k @ r
aanwas	A: n v a s
aanwend	A: n v E n t
aanwending	A: n v E n d @ N
aanwendsel	A: n v E n t s @ l
aanwesig	A: n v i@ s @ x
aanwesiges	A: n v i@ s @ x @ s
aanwesigheid	A: n v i@ s @ x h\ @i t
aanwins	A: n v @ n s
aanwinste	A: n v @ n s t @
aanwys	A: n v @i s
aanwysende	A: n v @i s @ n d @
aanwyser	A: n v @i s @ r
aanwysers	A: n v @i s @ r s
aanwysing	A: n v @i s @ N
aanwysings	A: n v @i s @ N s
aap	A: p
aar	A: r
aard	A: r t
aardas	A: r t a s
aardbewing	A: r t b i@ v @ N
aardbewings	A: r t b i@ v @ N s
aarde	A: r d @
aardgas	A: r t x a s
aardig	A: r d @ x
aardklop	A: r t k l O p
aardkors	A: r t k O r s
aardkwessies	A: r t k w E s i s
aardoppervlak	A: r t O p @ r f l a k
aardrykskunde	A: r d r @i k s k 9 n d @
aards	A: r t s
aardse	A: r t s @
aardskudding	A: r t s k 9 d @ N
aardvark	A: r t f a r k
aardverhitting	A: r t f @ r h\ @ t @ N
aardverwarming	A: r t f @ r v a r m @ N
aarsel	A: r s @ l
aarselend	A: r s @ l @ n t
aarseling	A: r s @ l @ N
aartappel	A: r t a p @ l
aartappels	A: r t a p @ l s
aartappelskyfies	A: r t a p @ l s k @i f i s
aartjies	A: r k i s
aartsbiskop	A: r t s b @ s k O p
aartsvaders	A: r t s f A: d @ r s
aartsvyand	A: r t s f @i a n t
aartsvyande	A: r t s f @i a n d @
aas	A: s
aasvoëls	A: s f u@ l s
abattoir	a b a t w A: r
abba	a b a
abbas	a b a s
abdominale	a b d O m i n A: l @
abduksie	a b d 9 k s i
abiotiese	a b i u@ t i s @
abjekte	a b j E k t @
ablatief	a b l a t i f
abnormaal	a b n O r m A: l
abnormale	a b n O r m A: l @
abnormaliteit	a b n O r m a l i t @i t
abnormaliteite	a b n O r m a l i t @i t @
aborsie	a b O r s i
aborsies	a b O r s i s
abseil	a b s @i l
absent	a b s E n t
abses	a b s E s
absolusie	a b s u l y s i
absolute	a b s u l y t @
absolutisme	a b s u l y t @ s m @
absoluut	a b s u l y t
absorbeer	a b s O r b i@ r
absorpsie	a b z O r p s i
absorpsiekoste	a b z O r p s i k O s t @
abstrak	a b s t r a k
abstraksie	a b s t r a k s i
abstrakte	a b s t r a k t @
absurd	a b s 9 r t
absurde	a b s 9 r d @
absurditeit	a b s 9 r d i t @i t
abuis	a b 9y s
academica	a k a d i@ m i k a
adagio	a d A: Z i @u
adamsappel	a d a m s a p @ l
adaptasie	a d a p t A: s i
addendum	a d E n d 9 m
addendums	a d E n d 9 m s
addisioneel	a d i S u n i@ l
addisionele	a d i S i u n i@ l @
additiewe	a d @ t i v @
adelaar	A: d @ l A: r
adellike	A: d @ l @ k @
adellikes	A: d @ l @ k @ s
adelstand	A: d @ l s t a n t
adem	A: d @ m
adiabatiese	a d i a b A: t i s @
adjektief	a d j E k t i f
adjektiewe	a d j E k t i v @
adjunk	a d j 9 N k
adjunkminister	a d j 9 N k m @ n @ s t @ r
adjunkpresident	a d j 9 N k p r @ s @ d E n t
adjunkredakteur	a d j 9 N k r @ d a k t 2: r
adjunkspeaker	a d j 9 N k s p i k @ r
adjunkvoorsitter	a d j 9 N k f u@ r s @ t @ r
admin	a d m @ n
administrasie	a d m @ n @ s t r A: s i
administrasiekoste	a d m @ n @ s t r A: s i k O s t @
administrasies	a d m @ n @ s t r A: s i s
administrateur	a d m @ n @ s t r a t 2: r
administrateurs	a d m @ n @ s t r a t 2: r s
administratief	a d m @ n @ s t r a t i f
administratiewe	a d m @ n @ s t r a t i v @
administrator	a d m @ n @ s t r A: t O r
administreer	a d m @ n @ s t r i@ r
admiraal	a d m @ r A: l
adolessensie	a d O l @ s E n s i
adolessent	a d u l u s E n t
adolessente	a d O l @ s E n t @
adrenale	a d r @ n A: l @
adrenalien	a d r E n a l i n
adrenergiese	a d r @ n @ r x i s @
adres	a d r E s
adresse	a d r E s @
adsorpsie	a d z O r p s i
adverteer	a t f @ r t i@ r
adverteerders	a t f @ r t i@ r d @ r s
advertensie	a t f @ r t E n s i
advertensiebord	a t f @ r t E n s i b O r t
advertensieborde	a t f @ r t E n s i b O r d @
advertensies	a t f @ r t E n s i s
advertensiewese	a t f @ r t E n s i v i@ s @
advertering	a t f @ r t i@ r @ N
advies	a t f i s
adviesburo	a t f i s b y r u@
advieskomitee	a t f i s k O m @ t i@
adviseer	a t f i s i@ r
adviserende	a t f i s i@ r @ n d @
adviseur	a t f i s 2: r
adviseurs	a t f i s 2: r s
advokaat	a t f u k A: t
advokate	a t f u k A: t @
aërobiese	a i r u@ b i s @
aerobiese	i@ r u@ b i s @
af	a f
afbaken	a f b A: k @ n
afbakening	a f b A: k @ n @ N
afbakeningsraad	a f b A: k @ n @ N s r A: t
afbeeldings	a f b i@ l d @ N s
afbetaal	a f b @ t A: l
afbetaling	a f b @ t A: l @ N
afbeweeg	a f b @ v i@ x
afblaas	a f b l A: s
afbraak	a f b r A: k
afbrand	a f b r a n t
afbreek	a f b r i@ k
afbreekpunte	a f b r i@ k p 9 n t @
afbrekende	a f b r i@ k @ n d @
afbreuk	a f b r 2: k
afbuk	a f b 9 k
afbyt	a f b @i t
afdaal	a f d A: l
afdak	a f d a k
afdakke	a f d a k @
afdank	a f d a N k
afdanking	a f d a N k @ N
afdankings	a f d a N k @ N s
afdeling	a f d i@ l @ N
afdelings	a f d i@ l @ N s
afdelingshoof	a f d i@ l @ N s h\ u@ f
afdelingswinkel	a f d i@ l @ N s v @ N k @ l
afdraai	a f d r A: i
afdraaipad	a f d r A: i p a t
afdraande	a f d r A: n d @
afdreig	a f d r @i x
afdroog	a f d r u@ x
afdruk	a f d r 9 k
afdrukke	a f d r 9 k @
afdwaal	a f d w A: l
afdwing	a f d w @ N
afdwingbaar	a f d w @ N b A: r
afdwingbare	a f d w @ N b A: r @
affekteer	a f E k t i@ r
affektief	a f E k t i f
affektiewe	a f E k t i v @
affêre	a f { r @
affikse	a f @ k s @
affiniteit	a f i n i t @i t
affrikate	a f r i k A: t @
afgaan	a f x A: n
afgaanse	a f g A: n s @
afgebaken	a f x @ b A: k @ n
afgebakende	a f x @ b A: k @ n d @
afgebeeld	a f x @ b i@ l t
afgebrand	a f x @ b r a n t
afgebrande	a f x @ b r a n d @
afgebreek	a f x @ b r i@ k
afgebring	a f x @ b r @ N
afgebyt	a f x @ b @i t
afgedank	a f x @ d a N k
afgedankte	a f x @ d a N k t @
afgedraai	a f x @ d r A: i
afgedreig	a f x @ d r @i x
afgedruk	a f x @ d r 9 k
afgedwaal	a f x @ d w A: l
afgedwing	a f x @ d w @ N
afgee	a f x i@
afgegaan	a f x @ x A: n
afgegooi	a f x @ x u@ i
afgehaal	a f x @ h\ A: l
afgehandel	a f x @ h\ a n d @ l
afgehandelde	a f x @ h\ a n d @ l d @
afgehang	a f x @ h\ a N
afgejaag	a f x @ j A: x
afgekap	a f x @ k a p
afgekeur	a f x @ k 2: r
afgeklim	a f x @ k l @ m
afgekoel	a f x @ k u l
afgekom	a f x @ k O m
afgekondig	a f x @ k O n d @ x
afgekort	a f x @ k O r t
afgekyk	a f x @ k @i k
afgelaai	a f x @ l A: i
afgelas	a f x @ l a s
afgeleë	a f x @ l i@
afgeleefde	a f x @ l i@ f d @
afgelees	a f x @ l i@ s
afgelei	a f x @ l @i
afgeleide	a f x @ l @i d @
afgeleides	a f x @ l @i d @ s
afgelewer	a f x @ l i@ v @ r
afgeloop	a f x @ l u@ p
afgelope	a f x @ l u@ p @
afgelos	a f x @ l O s
afgeluister	a f x @ l 9y s t @ r
afgemaai	a f x @ m A: i
afgemaak	a f x @ m A: k
afgemeet	a f x @ m i@ t
afgemerk	a f x @ m { r k
afgemete	a f x @ m i@ t @
afgeneem	a f x @ n i@ m
afgeplatte	a f x @ p l a t @
afgepyl	a f x @ p @i l
afgeraai	a f x @ r A: i
afgeransel	a f x @ r a n s @ l
afgereken	a f x @ r i@ k @ n
afgerig	a f x @ r @ x
afgerol	a f x @ r O l
afgerond	a f x @ r O n t
afgeronde	a f x @ r O n d @
afgery	a f x @ r @i
afgesaagde	a f x @ s A: x d @
afgesaal	a f x @ s A: l
afgesak	a f x @ s a k
afgeset	a f x @ s E t
afgesette	a f x @ s E t @
afgesien	a f x @ s i n
afgesit	a f x @ s @ t
afgeskaal	a f x @ s k A: l
afgeskaf	a f x @ s k a f
afgeskakel	a f x @ s k A: k @ l
afgeskeep	a f x @ s k i@ p
afgeskeer	a f x @ s k i@ r
afgeskei	a f x @ s k @i
afgeskeur	a f x @ s k 2: r
afgeskiet	a f x @ s k i t
afgeskop	a f x @ s k O p
afgeskrik	a f x @ s k r @ k
afgeskryf	a f x @ s k r @i f
afgeskud	a f x @ s k 9 t
afgeslaan	a f x @ s l A: n
afgeslag	a f x @ s l a x
afgeslote	a f x @ s l u@ t @
afgesluit	a f x @ s l 9y t
afgesny	a f x @ s n @i
afgespeel	a f x @ s p i@ l
afgesper	a f x @ s p { r
afgespoel	a f x @ s p u l
afgespreek	a f x @ s p r i@ k
afgespring	a f x @ s p r @ N
afgestaan	a f x @ s t A: n
afgesteek	a f x @ s t i@ k
afgestel	a f x @ s t { l
afgestem	a f x @ s t E m
afgestof	a f x @ s t O f
afgestomp	a f x @ s t O m p
afgestoot	a f x @ s t u@ t
afgestorm	a f x @ s t O r @ m
afgestorwene	a f x @ s t O r v @ n @
afgestorwenes	a f x @ s t O r v @ n @ s
afgestudeerde	a f x @ s t y d i@ r d @
afgestuur	a f x @ s t y r
afgetakel	a f x @ t A: k @ l
afgeteken	a f x @ t i@ k @ n
afgetrap	a f x @ t r a p
afgetrede	a f x @ t r i@ d @
afgetree	a f x @ t r i@
afgetrek	a f x @ t r { k
afgetrokke	a f x @ t r O k @
afgevaardig	a f x @ f A: r d @ x
afgevaardigde	a f x @ f A: r d @ x d @
afgevaardigdes	a f x @ f A: r d @ x d @ s
afgeval	a f x @ f a l
afgevee	a f x @ f i@
afgevra	a f x @ f r A:
afgevuur	a f x @ f y r
afgewaai	a f x @ v A: i
afgewag	a f x @ v a x
afgewas	a f x @ v a s
afgewater	a f x @ v A: t @ r
afgewaterde	a f x @ v A: t @ r d @
afgeweer	a f x @ v i@ r
afgewerk	a f x @ v { r k
afgewerp	a f x @ v { r p
afgewissel	a f x @ v @ s @ l
afgewyk	a f x @ v @i k
afgly	a f x l @i
afgod	a f x O t
afgode	a f x u@ d @
afgodsbeelde	a f x O t s b i@ l d @
afgooi	a f x u@ i
afgrond	a f x r O n t
afgryse	a f x r @i s @
afgryslik	a f x r @i s l @ k
afgunstig	a f x 9 n s t @ x
afhaal	a f h\ A: l
afhandel	a f h\ a n d @ l
afhandeling	a f h\ a n d @ l @ N
afhandelingsdatum	a f h\ a n d @ l @ N s d A: t 9 m
afhandelingsdatums	a f h\ a n d @ l @ N s d A: t 9 m s
afhang	a f h\ a N
afhangend	a f h\ a N @ n t
afhangende	a f h\ a N @ n d @
afhanklik	a f h\ a N k l @ k
afhanklike	a f h\ a N k l @ k @
afhanklikes	a f h\ a N k l @ k @ s
afhanklikheid	a f h\ a N k l @ k h\ @i t
afhanklikheidstatus	a f h\ a N k l @ k h\ @i t s t A: t 9 s
afhou	a f h\ @u
afkap	a f k a p
afkappingsteken	a f k a p @ N s t i@ k @ n
afkeer	a f k i@ r
afkeure	a f k 2: r @
afkeurend	a f k 2: r @ n t
afkeurende	a f k 2: r @ n d @
afkeuring	a f k 2: r @ N
afklim	a f k l @ m
afknouery	a f k n @u @ r @i
afknyp	a f k n @i p
afkoel	a f k u l
afkoeling	a f k u l @ N
afkoelrak	a f k u l r a k
afkom	a f k O m
afkoms	a f k O m s
afkomstig	a f k O m s t @ x
afkondiging	a f k O n d @ x @ N
afkorting	a f k O r t @ N
afkortings	a f k O r t @ N s
afkraak	a f k r A: k
afkry	a f k r @i
afkyk	a f k @i k
aflaai	a f l A: i
aflees	a f l i@ s
aflegging	a f l { x @ N
afleggings	a f l { x @ N s
aflei	a f l @i
afleiding	a f l @i d @ N
afleidings	a f l @i d @ N s
aflek	a f l E k
aflewer	a f l i@ v @ r
aflewering	a f l i@ v @ r @ N
aflewerings	a f l i@ v @ r @ N s
afloop	a f l u@ p
afloopwater	a f l u@ p v A: t @ r
aflos	a f l O s
aflosbare	a f l O s b A: r @
aflossing	a f l O s @ N
aflosspan	a f l O s p a n
afluister	a f l 9y s t @ r
afmaai	a f m A: i
afmaak	a f m A: k
afmerk	a f m { r k
afmetinge	a f m i@ t @ N @
afmetings	a f m i@ t @ N s
afname	a f n A: m @
